         x            y         Side    Disk   Ring  Module
      4.41009      -6.51152      1      9      1      17
      4.42179      -6.5087       1      9      1      17
      4.16502      -5.86424      1      9      1      17
      4.47307      -6.44886      1      9      1      17
      5.00381      -7.35692      1      9      1      17
      5.02955      -7.38422      1      9      1      18
      4.42857      -6.54105      1      9      1      18
      4.44272      -6.54106      1      9      1      18
      4.45863      -6.52515      1      9      1      18
      4.50105      -6.48272      1      9      1      18
      4.18764      -5.89         1      9      1      18
      7.35516      -7.64331      1      9      1      18
      5.16158      -4.74615      1      9      1      18
      5.80526      -4.47059      1      9      1      18
      6.37678      -4.81937      1      9      1      18
      5.88245      -4.59236      1      9      1      19
      6.35328      -4.79298      1      9      1      19
      8.23247      -5.05221      1      9      1      19
      7.06857      -4.13893      1      9      1      19
      6.75071      -3.88685      1      9      1      19
      7.47198      -4.00875      1      9      1      19
      7.92516      -3.86912      1      9      1      19
      6.20146      -2.83373      1      9      1      19
      9.59369      -4.31023      1      9      1      19
      6.10452      -2.3703       1      9      1      19
      8.25476      -3.04581      1      9      1      19
      7.24352      -2.51652      1      9      1      19
      7.83617      -2.36779      1      9      1      19
      7.2668       -1.91953      1      9      1      19
      6.15338      -2.41357      1      9      1      20
      7.28053      -2.52881      1      9      1      20
      9.37673      -2.79754      1      9      1      20
      7.87083      -2.38571      1      9      1      20
      7.30439      -1.93017      1      9      1      20
      7.32878      -0.697381     1      9      1      20
      7.37698      -0.70393      1      9      1      20
      6.40676      -0.10984      1      9      1      20
      7.4715       -0.23515      1      9      1      20
      10.6023       2.81603      1      9      2      1
      12.8065       2.92446      1      9      2      1
      11.1021       2.31431      1      9      2      1
      10.3367       2.22256      1      9      2      1
      13.4378       2.41851      1      9      2      1
      10.3454       1.7405       1      9      2      1
      10.1855       1.69949      1      9      2      1
      13.0881       5.79612      1      9      2      2
      11.9011       3.53083      1      9      2      2
      10.6456      2.82446       1      9      2      2
      10.3879      2.22709       1      9      2      2
      11.1422      2.2541        1      9      2      2
      10.1235      1.80069       1      9      2      2
      8.66168      6.34681       1      9      2      3
      10.0042      7.16446       1      9      2      3
      11.219      6.13446        1      9      2      3
      6.29777      8.02834       1      9      2      4
      6.4694      8.12572        1      9      2      4
      7.79823      8.94897       1      9      2      4
      8.50311      7.89432       1      9      2      4
      10.4466      9.78358       1      9      2      4
      8.66835      6.7621        1      9      2      4
      8.42491      11.5235       1      9      2      5
      6.26332      8.0047        1      9      2      5
      6.43314      8.099         1      9      2      5
      1.76666      10.0611       1      9      2      6
      2.14468      10.9696       1      9      2      6
      3.63404      13.1519       1      9      2      6
      4.02845      12.7487       1      9      2      6
      3.22758      10.4197       1      9      2      6
      3.15768      9.75471       1      9      2      6
      4.64881      12.1604       1      9      2      6
      5.43984      12.4917       1      9      2      6
      0.0849051      12.8444     1      9      2      7
      0.376237      12.9526      1      9      2      7
      0.571371      11.6914      1      9      2      7
      1.75628      10.0164       1      9      2      7
      1.91741      9.92116       1      9      2      7
      2.30498      13.0174       1      9      2      7
      2.13244      10.9211       1      9      2      7
      -1.69629      11.4941      1      9      2      8
      -1.11239      12.91        1      9      2      8
      -0.1416      12.6969       1      9      2      8
      0.0820973      12.9035     1      9      2      8
      -5.05672      13.4559      1      9      2      9
      -3.82499      10.5792      1      9      2      9
      -3.45611      13.4157      1      9      2      9
      -5.8777      9.09832       1      9      2      10
      -7.76682      6.82978      1      9      2      11
      -7.4737      7.05062       1      9      2      11
      -7.26356      7.48454      1      9      2      11
      -7.60336      8.49255      1      9      2      11
      -9.90726      4.85374      1      9      2      12
      -10.5865      5.33455      1      9      2      12
      -11.0689      6.69153      1      9      2      12
      -10.9066      7.32786      1      9      2      12
      -8.22754      6.02158      1      9      2      12
      -7.97394      6.90449      1      9      2      12
      -10.5093      2.0319       1      9      2      13
      -10.8765      2.86164      1      9      2      13
      -9.85901      4.86022      1      9      2      13
      -10.4054      5.42047      1      9      2      13
      -12.6089      0.118389     1      9      2      14
      -11.5644      0.0891701    1      9      2      14
      -10.63        0.781403     1      9      2      14
      -10.0286      1.29096      1      9      2      14
      -10.5365      1.96956      1      9      2      14
      -10.9242      2.86127      1      9      2      14
      -13.4626      -2.46659      1      9      2      15
      -10.4315      -1.91796      1      9      2      15
      -11.6224      -1.27305      1      9      2      15
      -13.9258      -1.21737      1      9      2      15
      -12.5121      -0.709114      1      9      2      15
      -11.5152      0.100092      1      9      2      15
      -12.7085      0.229411      1      9      2      15
      -9.71576      -4.91598      1      9      2      16
      -10.3638      -3.78134      1      9      2      16
      -13.5817      -4.66525      1      9      2      16
      -13.6057      -4.65135      1      9      2      16
      -9.80158      -2.61786      1      9      2      16
      -12.3433      -3.26926      1      9      2      16
      -10.4869      -1.91382      1      9      2      16
      -11.0791      -8.29527      1      9      2      17
      -9.81567      -7.31404      1      9      2      17
      -9.35237      -6.64006      1      9      2      17
      -11.0018      -7.28931      1      9      2      17
      -10.473      -6.04499      1      9      2      17
      -9.64677      -5.32185      1      9      2      17
      -9.83145      -5.06847      1      9      2      17
      -12.223      -6.0984      1      9      2      17
      -8.01274      -9.78219      1      9      2      18
      -6.33559      -8.06132      1      9      2      18
      -6.33543      -8.04732      1      9      2      18
      -6.33314      -8.02129      1      9      2      18
      -9.02692      -10.1175      1      9      2      18
      -7.43797      -7.89339      1      9      2      18
      -7.36777      -7.82201      1      9      2      18
      -6.29602      -7.99598      1      9      2      19
      -8.03763      -9.81031      1      9      2      19
      -2.24557      -9.96781      1      9      2      20
      -2.57534      -10.8388      1      9      2      20
      -4.1669      -11.1876      1      9      2      20
      -3.81476      -9.69449      1      9      2      20
      -4.16343      -9.22247      1      9      2      20
      -5.9161      -12.977      1      9      2      20
      0.246563      -10.5645      1      9      2      21
      -2.02892      -12.4138      1      9      2      21
      -2.22011      -10.1746      1      9      2      21
      -2.44705      -11.0339      1      9      2      21
      1.93162      -10.1478      1      9      2      22
      1.70357      -10.0627      1      9      2      22
      1.29796      -11.1965      1      9      2      22
      0.979892      -13.5294      1      9      2      22
      0.475822      -10.5536      1      9      2      22
      5.27994      -11.4304      1      9      2      23
      4.52615      -13.287      1      9      2      23
      1.95236      -10.1022      1      9      2      23
      6.42687      -11.1653      1      9      2      24
      5.53856      -10.612      1      9      2      24
      9.66759      -7.57279      1      9      2      25
      9.20338      -7.23233      1      9      2      25
      8.55144      -6.75362      1      9      2      25
      10.4268      -9.30782      1      9      2      25
      9.34127      -8.80761      1      9      2      25
      8.52311      -8.46478      1      9      2      25
      7.61693      -7.91029      1      9      2      25
      7.83928      -9.0495      1      9      2      25
      8.59846      -6.78611      1      9      2      26
      9.56959      -7.40728      1      9      2      26
      9.23406      -7.27997      1      9      2      26
      10.7767      -2.26785      1      9      2      27
      12.2484      -4.48837      1      9      2      27
      12.0599      -4.57235      1      9      2      27
      9.78759      -4.09435      1      9      2      27
      14.3779      -0.78105      1      9      2      28
      13.9458      -2.2016      1      9      2      28
      10.8233      -2.28529      1      9      2      28
      14.1361      -3.10609      1      9      2      28
      15.8923      0.00596213      1      9      3      1
      17.2637      2.02136      1      9      3      1
      17.0342      3.03637      1      9      3      1
      17.6076      3.22599      1      9      3      1
      17.6773      3.16742      1      9      3      2
      17.019      3.76758      1      9      3      2
      16.0901      5.4363      1      9      3      2
      16.2732      6.7101      1      9      3      3
      13.862      10.267      1      9      3      4
      14.4147      10.8566      1      9      3      4
      12.4013      9.45815      1      9      3      4
      13.7956      11.0774      1      9      3      4
      11.8119      10.3323      1      9      3      4
      11.7735      10.277      1      9      3      5
      10.3568      9.72571      1      9      3      5
      11.5691      11.6849      1      9      3      5
      10.1747      11.4086      1      9      3      5
      9.01526      11.407      1      9      3      5
      9.16766      11.2585      1      9      3      6
      9.08065      11.4539      1      9      3      6
      8.69051      11.7668      1      9      3      6
      8.99783      14.6979      1      9      3      6
      8.28816      15.4656      1      9      3      7
      2.25952      16.5996      1      9      3      9
      0.0586466      16.4122      1      9      3      9
      -3.42512      15.7529      1      9      3      11
      -3.45092      13.3829      1      9      3      11
      -5.15607      13.6645      1      9      3      11
      -4.96412      13.2464      1      9      3      12
      -6.73494      16.0518      1      9      3      12
      -8.42749      14.1532      1      9      3      13
      -9.59809      14.7703      1      9      3      13
      -11.3348      12.7324      1      9      3      14
      -12.0759      12.5373      1      9      3      14
      -11.845      9.96889      1      9      3      14
      -11.6557      9.92697      1      9      3      15
      -13.3824      9.0668      1      9      3      15
      -13.3951      8.26323      1      9      3      15
      -15.6311      7.49498      1      9      3      16
      -14.7513      6.75205      1      9      3      16
      -15.4648      5.57743      1      9      3      16
      -15.466      5.50162      1      9      3      17
      -17.5201      3.71546      1      9      3      17
      -14.7593      2.53026      1      9      3      17
      -14.8255      2.55058      1      9      3      18
      -13.9209      -1.17338      1      9      3      19
      -16.9597      -1.70447      1      9      3      19
      -14.3175      -2.90251      1      9      3      20
      -15.2541      -3.43015      1      9      3      20
      -15.338      -3.465      1      9      3      20
      -16.1723      -4.47328      1      9      3      20
      -16.1598      -5.62021      1      9      3      20
      -15.1766      -5.38265      1      9      3      20
      -15.3558      -5.31373      1      9      3      21
      -15.3796      -6.21029      1      9      3      21
      -15.5731      -8.21094      1      9      3      21
      -11.1047      -8.30513      1      9      3      22
      -14.1753      -11.0938      1      9      3      22
      -11.6935      -9.9254      1      9      3      22
      -13.1988      -11.0571      1      9      3      22
      -13.1193      -11.0408      1      9      3      23
      -11.6341      -9.88351      1      9      3      23
      -12.4346      -11.3291      1      9      3      23
      -10.1565      -13.4872      1      9      3      24
      -9.86152      -14.207      1      9      3      24
      -7.33297      -13.7735      1      9      3      25
      -5.96401      -13.2299      1      9      3      25
      -2.37081      -15.3825      1      9      3      26
      -2.36745      -15.3139      1      9      3      27
      -2.31171      -15.8815      1      9      3      27
      -2.29508      -15.9117      1      9      3      27
      -0.14878      -15.7492      1      9      3      27
      0.112153      -17.3562      1      9      3      27
      -0.142561      -15.8249      1      9      3      28
      0.0986316      -17.4344      1      9      3      28
      2.95685      -16.9557      1      9      3      28
      2.98986      -16.9582      1      9      3      28
      3.07409      -16.2338      1      9      3      29
      3.29045      -14.9702      1      9      3      29
      4.50579      -13.2661      1      9      3      29
      4.5486      -13.3155      1      9      3      30
      7.52333      -16.3469      1      9      3      30
      8.71607      -15.2163      1      9      3      30
      8.65193      -15.1566      1      9      3      31
      10.6416      -12.2797      1      9      3      31
      10.7226      -12.2765      1      9      3      32
      10.2616      -10.7513      1      9      3      32
      10.4415      -9.3437      1      9      3      32
      11.7296      -10.4201      1      9      3      32
      10.4072      -9.26639      1      9      3      33
